Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Capital Use Type,Guideway,Guideway Questionable,Stations,Stations Questionable,Administrative Buildings,Administrative Buildings Questionable,Maintenance Buildings,Maintenance Buildings Questionable,Passenger Vehicles,Passenger Vehicles Questionable,Other Vehicles,Other Vehicles Questionable,Fare Collection Equipment,Fare Collection Equipment Questionable,Communication & Information Systems,Communication & Information Systems Questionable,Other,Other Questionable,Reduced Reporter Expenses,Reduced Reporter Questionable,Total,Total Questionable
Greater Lapeer Transportation Authority,Lapeer,MI,50335,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,27,DR,Demand Response,DO,27,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"15,035",,"15,035",
McLennan County,Waco,TX,66276,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,27,DR,Demand Response,PT,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"10,281",,"10,281",
Regional Transportation Authority,Madison,TN,40159,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,61273,"Nashville-Davidson, TN","1,158,642",27,CB,Commuter Bus,PT,13,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"5,675,383",,0,,0,,0,,0,,0,,"5,675,383",
"Davidson County , dba: Davidson County Transportation",Lexington,NC,40131,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,38809,"High Point, NC","167,830",27,MB,Bus,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"160,983",,"160,983",
"District Three Governmental Cooperative, dba: Mountain Lynx Transit",Marion,VA,30123,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,10351,"Bristol, TN--VA","70,638",27,DR,Demand Response,DO,19,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"426,142",,"426,142",
McLean County,Bloomington,IL,50338,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,27,DR,Demand Response,DO,27,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"14,040",,"14,040",
Altamont Corridor Express,Stockton,CA,90182,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,85087,"Stockton, CA","414,847",27,CR,Commuter Rail,PT,27,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"550,156",,"391,661",,"16,667",,"2,331,011",,"14,326,550",,0,,0,,"1,108,316",,0,,0,,"18,724,361",
Community Development Inc.,Richton,MS,41044,Private-Non-Profit Corporation,Rural Reporter,2022,,,,27,DR,Demand Response,DO,27,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"150,278",,"150,278",
"City of Sharon, dba: Shenango Valley Shuttle Service",Sharon,PA,30055,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,42,Pennsylvania Non-UZA,"4,196,634",24,MB,Bus,DO,5,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,134,226",,"1,134,226",
"Buncombe County, dba: Mountain Mobility",Asheville,NC,40224,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,3358,"Asheville, NC","285,776",27,DR,Demand Response,PT,24,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"505,070",,0,,0,,"8,422",,0,,0,,"513,492",
"City of La Crosse, dba: LaCrosse Municipal Transit Utility",La Crosse,WI,50004,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,45910,"La Crosse, WI--MN","98,872",26,MB,Bus,DO,16,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"362,046",,"1,504,490",,0,,"160,548",,0,,0,,0,,"2,027,084",
"City of Cedar Rapids, dba: Cedar Rapids Transit",Cedar Rapids,IA,70008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,14752,"Cedar Rapids, IA","192,844",26,MB,Bus,DO,22,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"616,599",,"913,260",,0,,0,,0,,0,,0,,"1,529,859",
Treasure Valley Transit,Nampa,ID,00373,Private-Non-Profit Corporation,Reduced Reporter,2022,60976,"Nampa, ID","177,561",26,MB,Bus,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"123,258",,"123,258",
"Bay County Transportation Planning Organization, dba: Bayway",Panama City,FL,40185,"MPO, COG or Other Planning Agency",Full Reporter,2022,67305,"Panama City--Panama City Beach, FL","162,060",26,MB,Bus,PT,12,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"741,980",,0,,0,,0,,"443,427",,0,,"1,185,407",
People for People Moses Lake,Yakima,WA,00287,Private-Non-Profit Corporation,Rural Reporter,2022,,,,26,MB,Bus,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"150,913",,"150,913",
Twin Transit,Centralia,WA,00364,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,26,DR,Demand Response,DO,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"413,793",,"413,793",
"Metropolitan Evansville Transit System, dba: METS",Evansville,IN,50043,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,28333,"Evansville, IN","206,855",26,DR,Demand Response,DO,9,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,"14,117",,0,,"14,117",
Lake Transit Authority,Lower Lake,CA,91053,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,26,MB,Bus,PT,21,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"57,663",,"57,663",
Treasure Valley Transit,Nampa,ID,00373,Private-Non-Profit Corporation,Reduced Reporter,2022,60976,"Nampa, ID","177,561",26,DR,Demand Response,DO,15,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,561,710",,"1,561,710",
"Bay County Transportation Planning Organization, dba: Bayway",Panama City,FL,40185,"MPO, COG or Other Planning Agency",Full Reporter,2022,67305,"Panama City--Panama City Beach, FL","162,060",26,DR,Demand Response,PT,14,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"125,508",,0,,0,,0,,"149,584",,0,,"275,092",
Municipality of Carolina,Carolina,PR,40125,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR","1,844,410",26,MB,Bus,DO,24,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"32,300",,"32,300",
People for People Moses Lake,Yakima,WA,00287,Private-Non-Profit Corporation,Rural Reporter,2022,,,,26,DR,Demand Response,DO,19,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"258,038",,"258,038",
"Lee County, dba: Lee-Ogle Transportation System",Dixon,IL,50250,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,26,DR,Demand Response,DO,26,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"241,332",,"241,332",
"City of Rocky Mount, dba: Tar River Transit",Rocky Mount,NC,40096,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,75988,"Rocky Mount, NC","63,297",26,MB,Bus,PT,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,425,983",,"1,425,983",
"SPAN, Incorporated",Denton,TX,60116,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,23500,"Denton--Lewisville, TX","429,461",26,DR,Demand Response,DO,26,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"139,095",,"139,095",
Bamberg County Office On Aging,Bamberg,SC,40974,Area Agency on Aging,Rural Reporter,2022,,,,26,DR,Demand Response,DO,26,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"98,622",,"98,622",
Twin Transit,Centralia,WA,00364,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,26,MB,Bus,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,757,675",,"1,757,675",
Lake Transit Authority,Lower Lake,CA,91053,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,26,DR,Demand Response,PT,5,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"583,041",,"583,041",
"Suwannee River Economic Council, Inc.",Live Oak,FL,41037,Private-Non-Profit Corporation,Rural Reporter,2022,,,,26,DR,Demand Response,DO,26,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"145,092",,"145,092",
"Metropolitan Evansville Transit System, dba: METS",Evansville,IN,50043,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,28333,"Evansville, IN","206,855",26,MB,Bus,DO,17,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"6,576",,"528,321",,"128,433",,0,,0,,882,,825,,"27,825",,0,,"692,862",
Huntingdon-Bedford-Fulton Area Agency on Aging,Bedford,PA,31039,Area Agency on Aging,Rural Reporter,2022,,,,26,DR,Demand Response,DO,26,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"669,030",,"669,030",
"University of California, Davis, dba: ASUCD-Unitrans",Davis,CA,90142,University,Full Reporter,2022,22420,"Davis, CA","77,034",25,MB,Bus,DO,25,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"1,863,681",,"4,580,074",,0,,0,,0,,"53,560",,0,,"6,497,315",
Sandusky Transit System,Sandusky,OH,50164,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,78774,"Sandusky--Port Clinton, OH","61,743",25,DR,Demand Response,DO,18,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"137,788",,"137,788",
Johnston Co. Council on Aging Inc.,Smithfield,NC,40943,Area Agency on Aging,Rural Reporter,2022,17426,"Clayton, NC","51,898",25,DR,Demand Response,DO,25,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2,119,222",,"2,119,222",
"City of Santa Maria, dba: Santa Maria Area Transit",Santa Maria,CA,90087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,79417,"Santa Maria, CA","143,609",25,MB,Bus,PT,20,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"1,667,948",,0,,0,,0,,0,,0,,"1,667,948",
Baltimore County Department of Public Works Transportation,Towson,MD,30130,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,4843,"Baltimore, MD","2,212,038",25,DR,Demand Response,DO,15,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"131,668",,"131,668",
"City of Montgomery, dba: The M (Montgomery Area Transit System)",Montgomery,AL,40044,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,58600,"Montgomery, AL","254,348",25,MB,Bus,DO,19,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"73,601",,"9,075",,0,,"183,238",,"123,504",,0,,0,,"389,418",
Lee-Russell Council of Governments,Opelika,AL,40073,"MPO, COG or Other Planning Agency",Reduced Reporter,2022,4033,"Auburn, AL","100,842",25,DR,Demand Response,DO,21,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"57,341",,"57,341",
"The County of Iredell, dba: Iredell County Area Transportation Services",Statesville,NC,40205,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,15670,"Charlotte, NC--SC","1,379,873",25,MB,Bus,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"40,342",,"40,342",
"Harford County Maryland, dba: Harford Transit LINK",Bel Air,MD,30074,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,6290,"Bel Air--Aberdeen, MD","214,647",25,MB,Bus,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"113,649",,"113,649",
High Valley Transit District,,UT,88239,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,25,MB,Bus,PT,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"911,990",,"911,990",
"City of Montgomery, dba: The M (Montgomery Area Transit System)",Montgomery,AL,40044,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,58600,"Montgomery, AL","254,348",25,DR,Demand Response,DO,6,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,"30,827",,0,,0,,"30,827",
"Southeast Iowa Regional Planning Commission, dba: SEIBUS",Burlington,IA,70217,Private-Non-Profit Corporation,Rural Reporter,2022,,,,25,DR,Demand Response,DO,25,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"111,311",,"111,311",
Sandusky Transit System,Sandusky,OH,50164,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,78774,"Sandusky--Port Clinton, OH","61,743",25,MB,Bus,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"313,031",,"313,031",
"Disability Services, Inc., dba: Envida",Colorado Springs,CO,88288,Private-Non-Profit Corporation,Reduced Reporter,2022,18856,"Colorado Springs, CO","632,494",25,DR,Demand Response,DO,22,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"779,183",,"779,183",
"The County of Iredell, dba: Iredell County Area Transportation Services",Statesville,NC,40205,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,15670,"Charlotte, NC--SC","1,379,873",25,DR,Demand Response,DO,22,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"161,369",,"161,369",
"Union County, dba: Union County Transportation",Monroe,NC,40215,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,15670,"Charlotte, NC--SC","1,379,873",25,DR,Demand Response,DO,24,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"15,052",,"15,052",
"Harford County Maryland, dba: Harford Transit LINK",Bel Air,MD,30074,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,6290,"Bel Air--Aberdeen, MD","214,647",25,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"37,883",,"37,883",
"City of Sioux City, dba: Sioux City Transit System",Sioux City,IA,70012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,82225,"Sioux City, IA--NE--SD","113,066",25,MB,Bus,DO,17,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"44,352",,0,,"59,944",,"3,816,508",,0,,0,,0,,0,,0,,"3,920,804",
Lee-Russell Council of Governments,Opelika,AL,40073,"MPO, COG or Other Planning Agency",Reduced Reporter,2022,4033,"Auburn, AL","100,842",25,MB,Bus,DO,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"19,114",,"19,114",
"City of Columbia, dba: Go COMO",Columbia,MO,70016,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,18937,"Columbia, MO","141,831",25,MB,Bus,DO,13,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"1,140,424",,"33,986",,0,,0,,0,,0,,"1,174,410",
"Unified Human Services Transportation Systems, Inc",Roanoke,VA,30178,Private-Non-Profit Corporation,Rural Reporter,2022,,,,25,DR,Demand Response,DO,25,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"159,966",,"159,966",
"Jackson County Transportation, Inc.",Marianna,FL,41198,Private-Non-Profit Corporation,Rural Reporter,2022,,,,25,DR,Demand Response,DO,25,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"29,522",,"29,522",
Roscommon County Transportation Authority,Prudenville,MI,50242,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,24,DR,Demand Response,DO,24,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"114,404",,"114,404",
"Town of Cary, dba: GoCary",Cary,NC,40143,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,73261,"Raleigh, NC","1,106,646",24,MB,Bus,PT,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"580,108",,"580,108",
Yamhill County,Mcminnville,OR,00321,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,24,DR,Demand Response,PT,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"80,097",,"80,097",
"Greeley, City Of",Greeley,CO,80010,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,34786,"Greeley, CO","137,222",24,MB,Bus,DO,17,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"3,744,596",,"3,744,596",
County of Lebanon Transit Authority,Lebanon,PA,30095,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,48664,"Lebanon, PA","75,485",24,DR,Demand Response,DO,12,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"250,610",,0,,0,,0,,0,,0,,"250,610",
"City of Pocatello, dba: Pocatello Regional Transit",Pocatello,ID,00022,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,70426,"Pocatello, ID","72,211",24,MB,Bus,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"485,110",,"485,110",
Three Rivers Regional Commission,Griffin,GA,40905,"MPO, COG or Other Planning Agency",Reduced Reporter,2022,13,Georgia Non-UZA,"3,592,882",24,DR,Demand Response,PT,24,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"180,630",,"180,630",
Yamhill County,Mcminnville,OR,00321,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,24,CB,Commuter Bus,PT,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"106,010",,"106,010",
"Manistee County Transportation, Inc.",Manistee,MI,50369,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,24,DR,Demand Response,DO,24,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"13,417",,"13,417",
Clackamas County Social Services,Oregon City,OR,00363,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,71317,"Portland, OR--WA","2,104,238",24,CB,Commuter Bus,PT,2,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"32,426",,"32,426",
"Allied Coordinated Transportation Services, Inc.",New Castle,PA,31028,Private-Non-Profit Corporation,Rural Reporter,2022,,,,24,DR,Demand Response,DO,24,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"603,109",,"603,109",
"Tri-County Community Council, Inc",Bonifay,FL,41186,Private-Non-Profit Corporation,Rural Reporter,2022,,,,24,DR,Demand Response,DO,24,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"300,528",,"300,528",
"City of Sharon, dba: Shenango Valley Shuttle Service",Sharon,PA,30055,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,42,Pennsylvania Non-UZA,"4,196,634",24,DR,Demand Response,DO,19,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"337,178",,"337,178",
"City of Roseville, dba: Roseville Transit",Roseville,CA,90168,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,77068,"Sacramento, CA","1,946,618",24,CB,Commuter Bus,PT,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"20,182",,"20,182",
Yamhill County,Mcminnville,OR,00321,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,24,MB,Bus,PT,6,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"49,471",,"49,471",
Perry County Transit,New Lexington,OH,50343,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,24,DR,Demand Response,DO,24,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"341,861",,"341,861",
County of Lebanon Transit Authority,Lebanon,PA,30095,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,48664,"Lebanon, PA","75,485",24,MB,Bus,DO,12,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"394,812",,"80,439",,0,,0,,0,,"6,493",,"9,065",,0,,"490,809",
Clackamas County Social Services,Oregon City,OR,00363,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,71317,"Portland, OR--WA","2,104,238",24,MB,Bus,PT,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"8,239",,"8,239",
"City of Pocatello, dba: Pocatello Regional Transit",Pocatello,ID,00022,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,70426,"Pocatello, ID","72,211",24,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"98,165",,"98,165",
Baker Council on Aging,Macclenny,FL,41170,Private-Non-Profit Corporation,Rural Reporter,2022,,,,24,DR,Demand Response,DO,22,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"89,487",,"89,487",
"City of Brownsville , dba: Brownsville Metro",Brownsville,TX,60014,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,10972,"Brownsville, TX","216,444",24,MB,Bus,DO,16,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"440,457",,"14,740",,"26,030",,"725,581",,"29,418",,0,,"47,484",,0,,0,,"1,283,710",
"City of Roseville, dba: Roseville Transit",Roseville,CA,90168,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,77068,"Sacramento, CA","1,946,618",24,MB,Bus,PT,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"139,222",,"139,222",
"Mountain Projects, Inc.",Waynesville,NC,40226,Private-Non-Profit Corporation,Reduced Reporter,2022,3358,"Asheville, NC","285,776",24,DR,Demand Response,DO,22,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"131,126",,"131,126",
Sussex County Transit,Newton,NJ,20950,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,24,DR,Demand Response,DO,20,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"79,838",,"79,838",
"Unified Government of Wyandotte County and Kansas City, KS, dba: Ride KC Bus",Kansas City,KS,70047,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,43912,"Kansas City, MO--KS","1,674,218",24,MB,Bus,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,124,400",,"1,124,400",
Clinton Area Transit System,St. Johns,MI,50314,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,24,DR,Demand Response,DO,24,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"211,265",,"211,265",
"Flint Hills Area Transportation Agency, Inc, dba: ATABUS",Manhattan,KS,70053,Private-Non-Profit Corporation,Reduced Reporter,2022,53848,"Manhattan, KS","60,454",24,MB,Bus,DO,19,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"38,483",,"38,483",
Brookings Area Transit Authority,Brookings,SD,80187,Private-Non-Profit Corporation,Rural Reporter,2022,,,,24,DR,Demand Response,DO,24,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"90,063",,"90,063",
"Blair Senior Services, Inc.",Altoona,PA,31029,Area Agency on Aging,Rural Reporter,2022,1792,"Altoona, PA","74,426",24,DR,Demand Response,DO,24,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"611,636",,"611,636",
City of Winter Park,,CO,88225,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,23,MB,Bus,PT,19,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2,974,262",,"2,974,262",
Cooperative Alliance for Seacoast Transportation,Dover,NH,10086,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,24607,"Dover--Rochester, NH--ME","72,391",23,DR,Demand Response,DO,11,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,"2,475",,0,,0,,"2,475",
Great Falls Transit District,Great Falls,MT,80012,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,34759,"Great Falls, MT","67,097",23,DR,Demand Response,DO,10,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"167,728",,0,,0,,0,,0,,0,,"167,728",
"Greenville Transit Authority, dba: Greenlink",Greenville,SC,40053,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,35461,"Greenville, SC","387,271",23,MB,Bus,DO,17,Uses of Capital (F-20) - Expansion of Service,0,,0,,"338,014",,"950,011",,0,,0,,0,,0,,0,,0,,"1,288,025",
"Municipality of Caguas , dba: Autonomous Municipality of Caguas",Caguas,PR,40115,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR","1,844,410",23,MB,Bus,DO,17,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"132,135",,"132,135",
Centre County Transportation,Bellefonte,PA,31042,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,84493,"State College, PA","83,674",23,DR,Demand Response,DO,23,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"303,500",,"303,500",
"City of Decatur, Il, dba: Decatur Public Transit System",Decatur,IL,50061,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22717,"Decatur, IL","86,287",23,DR,Demand Response,PT,4,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,"5,125",,0,,"5,125",
Mountain Transit Authority,Summersville,WV,30140,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,23,MB,Bus,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"384,654",,"384,654",
"University of Arkansas, Fayetteville",Fayetteville,AR,60062,University,Reduced Reporter,2022,29494,"Fayetteville--Springdale--Rogers, AR--MO","373,687",23,MB,Bus,DO,19,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"58,634",,"58,634",
"LINK Hendricks County, dba: Hendricks and Morgan County Connect",Danville,IN,50342,Private-Non-Profit Corporation,Full Reporter,2022,41212,"Indianapolis, IN","1,699,881",23,DR,Demand Response,DO,23,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,"10,690",,0,,0,,"10,690",
York County Council on Aging,Rock Hill,SC,40187,Private Provider Reporting on Behalf of a Public Entity,Reduced Reporter,2022,75745,"Rock Hill, SC","218,443",23,DR,Demand Response,DO,23,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"29,299",,"29,299",
Midland-Odessa Urban Transit District,Odessa,TX,60097,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,64864,"Odessa, TX","154,818",23,DR,Demand Response,DO,9,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"567,251",,"567,251",
